age,educ,earnings,marry
28,2,600,1
49,2,600,1
31,3,961,1
63,5,1269,1
32,2,560,1
27,3,385.5,0
25,4,150,0
61,3,720,0
62,5,1923.0699,1
59,4,2884.6101,1
21,3,2884,0
51,2,2884.6101,0
56,3,2442.3,1
51,3,1442.3,1
68,4,2307,1
60,4,153,1
28,3,961,0
50,4,1923,1
51,4,2769,1
22,4,250,0
41,3,168,1
57,3,1160,0
50,2,2884.6101,1
34,2,640,1
33,3,1200,0
47,3,576.91998,0
32,3,1400,1
68,3,1384.61,1
42,1,560,0
42,3,2884.6101,1
53,3,583.59998,1
46,4,2884.6101,1
67,3,350,1
27,4,1442,0
52,4,1269.23,1
55,1,2640,1
44,4,600,1
61,5,961,1
60,4,1269,1
25,3,761.59998,0
52,1,684,1
34,1,285,0
45,1,360,0
56,4,1500,0
60,2,560,1
37,1,640,1
36,2,1473.6,1
57,4,2500,1
30,1,360,0
37,4,1442.3,1
33,2,472.79999,1
53,3,700,1
58,3,400,1
21,3,600,0
37,2,600,1
45,2,940,0
30,2,523,1
30,4,2884.6101,0
34,4,769.22998,0
40,4,2884.6101,0
51,1,350,0
54,1,350,0
34,4,673,0
43,2,1346.15,1
30,4,576.91998,1
29,3,1500,0
35,2,680,1
54,5,1730.76,1
60,4,1634.61,0
51,3,500,0
22,2,851.25,0
41,3,1160,0
57,3,1066,0
40,4,2441.5,1
64,2,1307.6899,1
54,5,2307.6899,1
22,3,1307.6899,1
26,4,675,0
28,4,380,0
35,3,2100,1
42,2,1153,0
41,4,1442,1
42,2,500,1
57,5,1500,1
63,4,673.07001,0
59,3,2442,1
45,5,1269,1
64,3,192,0
64,2,1730.76,0
54,4,2538.46,1
41,4,2115.3799,1
60,2,560,1
21,3,250,0
67,2,266,1
45,3,475,1
35,3,900,1
55,4,2884,1
41,4,1153.84,1
53,3,2000,1
23,2,750,1
50,4,884,1
52,2,1615.38,1
52,3,248,0
52,5,2884.6101,0
28,2,1214,0
44,4,1250,1
61,3,115.38,1
54,2,888,1
53,2,2150,0
58,5,2884.6101,1
57,2,2442,1
42,4,2884.6101,1
41,5,2538,1
61,5,1576.92,1
45,4,1942,1
36,2,778.40002,0
54,4,880,1
39,2,1400,1
45,4,1130,1
38,3,440,1
32,1,673.07001,1
54,3,341.25,0
47,3,2057.6899,1
47,5,1923,1
30,5,1538,0
54,4,1634,0
56,3,961,0
32,2,800,0
33,1,360,0
49,5,2884.6101,1
50,5,2125.5,1
57,3,2053.8401,1
25,2,300,0
43,3,386,0
60,3,736,0
49,2,865.38,0
35,2,520,0
28,1,600,0
27,2,560,0
58,5,1153,1
40,4,1923.0699,1
42,5,2884.6101,1
29,5,1346.15,0
43,4,476,1
41,5,1000,1
58,5,2403.8401,1
39,1,550,0
42,1,720,0
36,5,2884.6101,1
30,2,369,1
30,2,480,0
44,5,1538.46,1
23,4,961.53003,0
33,5,1230.76,0
29,5,1634.61,0
26,4,1057,0
29,4,1538,0
25,4,884,0
64,2,600,1
50,5,2261,1
43,5,1826.92,0
41,4,2019.23,0
30,4,1500,1
57,5,1903.84,1
28,4,1461.53,1
30,4,461.53,0
28,4,2019.23,0
29,5,700,0
31,5,1634.61,1
34,4,1100,0
24,2,750,0
28,1,750,0
30,3,850,0
34,1,750,0
34,5,807.69,1
26,4,2884.6101,0
34,5,2115.3799,1
36,4,2884.6101,0
51,4,2884.6101,0
59,5,2884.6101,0
34,3,576,0
35,5,2596.1499,0
34,5,2201.53,0
29,5,1538,0
30,5,1538,0
32,5,1923.0699,0
48,4,2884.6101,0
53,5,2884.6101,1
36,4,360,1
34,5,800,0
29,4,367,0
29,5,2826.9199,0
25,4,1250,0
27,5,600,0
26,4,1051,0
39,5,1826.92,0
27,4,1750,0
29,4,1200,0
22,4,884.60999,0
64,5,2884.6101,1
36,4,280,1
30,5,1865.38,0
35,4,846.15002,1
29,4,624,0
29,5,1057.6899,0
50,4,2884.6101,0
27,4,367.5,1
59,5,2884.6101,0
43,5,476,1
45,1,480.76001,1
52,1,455,0
32,2,406,1
24,3,770,0
53,2,225,1
59,2,300,1
46,5,1730.76,0
41,2,884.60999,1
60,2,280,0
67,2,308,1
52,5,2884.6101,1
22,3,230.75999,0
32,5,2000,1
21,1,600,0
43,4,2634.6101,1
63,2,560,0
68,2,320,1
22,4,345.60001,0
29,3,650,0
36,5,2884.6101,0
57,3,481.64999,0
32,5,2884.6101,0
38,1,297,0
35,2,320,1
36,3,300,1
62,3,2760,1
45,4,1923,1
32,2,500,0
40,2,480,1
27,3,793.79999,0
39,3,150,0
52,3,1200,0
49,4,1000,0
61,3,1000,0
27,3,400,0
60,3,1320,1
55,3,720,1
58,2,461,1
45,2,900,0
60,2,600,0
45,3,248,1
55,5,1846.15,1
56,5,1153.84,1
72,5,180,1
23,1,402.5,0
48,5,1288,1
33,3,675,1
28,3,560,1
40,2,1800,1
60,3,807,1
64,2,461,1
55,4,692.29999,1
58,4,961.53003,1
46,4,1250,1
72,4,653,1
46,4,200,1
49,4,640,1
48,3,692.29999,1
42,4,1923.09,1
46,2,807,1
53,3,480,1
21,2,1038.46,0
54,4,2000,1
63,3,180,1
56,4,2884.6101,1
21,3,231.25,0
47,3,807,1
47,4,1000,1
57,4,1250,1
34,4,2884.6101,1
33,4,480,0
31,4,2201,1
54,4,1800,1
58,5,480,0
37,2,480,1
67,2,800,1
33,3,1196,0
27,2,2884.6101,0
40,5,1442.3,1
44,1,450,1
27,3,2557.5,1
67,4,1923,1
60,2,660,0
33,3,1173.0699,1
38,1,1107.6899,0
45,3,600,1
73,4,356,1
53,2,769.22998,1
26,2,406,0
40,4,1923,1
48,3,500,1
54,4,1250,0
44,4,1546,1
33,3,630,1
51,4,360,1
24,4,961.53003,0
43,4,1250,1
61,4,1384.61,1
65,3,2307,1
49,4,2884.6101,1
60,4,2884.6101,1
44,4,1346.15,1
36,1,365.38,1
23,4,1072.35,0
55,3,865.38,1
29,4,769,1
46,3,230.75999,1
50,5,1153.84,1
46,4,2788.46,1
27,1,250,1
26,3,560,1
61,5,1250,1
52,3,870.23999,1
38,3,520,0
31,3,1030,0
